NAICS	PARTNER	STATE	Y_2010	Y_2011	Y_2012	Y_2013	Y_2014	Y_2015
111--AGRICULTURAL PRODUCTS	Belgium	Michigan	286943	0	25609	71555	1158826	369580
111--AGRICULTURAL PRODUCTS	Belgium	Minnesota	8073741	2600213	8344943	7585209	9089862	13907654
111--AGRICULTURAL PRODUCTS	Belgium	Mississippi	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Missouri	127500	54022	160383	48017	71890	0
111--AGRICULTURAL PRODUCTS	Belgium	Montana	637441	1104288	3436891	3660672	4883432	2303026
111--AGRICULTURAL PRODUCTS	Belgium	Nebraska	2139116	1297320	1108069	799637	1413148	1205467
111--AGRICULTURAL PRODUCTS	Belgium	Nevada	25650	262450	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	New Hampshire	195219	197123	299709	303675	228773	70040
111--AGRICULTURAL PRODUCTS	Belgium	New Jersey	3735034	328008	97748	617457	107131	173995
111--AGRICULTURAL PRODUCTS	Belgium	New Mexico	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	New York	31231028	26783340	4616168	678052	92930	353725
111--AGRICULTURAL PRODUCTS	Belgium	North Carolina	8182600	23620202	17025580	7095391	29029811	34283784
111--AGRICULTURAL PRODUCTS	Belgium	North Dakota	90972	499302	296011	628047	1369396	773647
111--AGRICULTURAL PRODUCTS	Belgium	Ohio	0	9959431	0	0	7260	0
111--AGRICULTURAL PRODUCTS	Belgium	Oklahoma	0	11283	286677	1660987	210000	8684
111--AGRICULTURAL PRODUCTS	Belgium	Oregon	397615	1143623	1483709	1135670	562711	1016386
111--AGRICULTURAL PRODUCTS	Belgium	Pennsylvania	693929	828127	960925	642329	1379864	1175873
111--AGRICULTURAL PRODUCTS	Belgium	Puerto Rico	0	0	24349	0	60480	0
111--AGRICULTURAL PRODUCTS	Belgium	South Carolina	36005	43453	570216	113055	397334	0
111--AGRICULTURAL PRODUCTS	Belgium	South Dakota	0	0	0	0	118677	18720
111--AGRICULTURAL PRODUCTS	Belgium	Tennessee	31407050	2283214	3233731	5021317	3122786	4893294
111--AGRICULTURAL PRODUCTS	Belgium	Texas	713874	3161218	2770216	658740	3409724	2229460
111--AGRICULTURAL PRODUCTS	Belgium	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Utah	0	0	0	13552	46770	0
111--AGRICULTURAL PRODUCTS	Belgium	Vermont	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Virgin Islands	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Virginia	112393305	1295916	8233241	287365	375245	2381601
111--AGRICULTURAL PRODUCTS	Belgium	Washington	22917575	26770678	5888764	22075590	8761061	11265780
111--AGRICULTURAL PRODUCTS	Belgium	West Virginia	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Wisconsin	52463626	24539722	25078539	16388162	787531	7335143
111--AGRICULTURAL PRODUCTS	Belgium	Wyoming	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Alabama	0	0	0	61266	0	26055
111--AGRICULTURAL PRODUCTS	Bulgaria	California	2135997	4394705	6335152	9164186	18254066	4942512
111--AGRICULTURAL PRODUCTS	Bulgaria	Colorado	36792	2545	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Delaware	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Florida	5000	25000	4367	10216	17500	56048
111--AGRICULTURAL PRODUCTS	Bulgaria	Georgia	0	0	0	1521967	644211	1285862
111--AGRICULTURAL PRODUCTS	Bulgaria	Illinois	28665	35217	40500	49585	10000	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Indiana	377212	526111	0	0	16000	4038
111--AGRICULTURAL PRODUCTS	Bulgaria	Iowa	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Kentucky	10132	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Michigan	0	0	0	80538	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Minnesota	0	0	104078	346225	22355	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Mississippi	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Missouri	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Nebraska	70092	0	0	0	280250	0
111--AGRICULTURAL PRODUCTS	Bulgaria	New Jersey	0	0	0	7636	4327	49750
111--AGRICULTURAL PRODUCTS	Bulgaria	New Mexico	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	New York	719520	623932	462000	0	87457	0
111--AGRICULTURAL PRODUCTS	Bulgaria	North Carolina	4217556	7995355	9231302	8278021	3481336	275490
111--AGRICULTURAL PRODUCTS	Bulgaria	North Dakota	0	41436	0	17092	338160	68050
111--AGRICULTURAL PRODUCTS	Bulgaria	Ohio	52026	0	0	0	13427	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Oklahoma	0	0	27113	239387	70000	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Oregon	728375	1628542	104500	10329	232100	74803
111--AGRICULTURAL PRODUCTS	Bulgaria	Pennsylvania	0	0	0	295812	319690	0
111--AGRICULTURAL PRODUCTS	Bulgaria	South Carolina	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	South Dakota	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Tennessee	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Texas	0	0	0	0	154000	226360
111--AGRICULTURAL PRODUCTS	Bulgaria	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Utah	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Virginia	0	1887140	430650	0	3623400	21856
111--AGRICULTURAL PRODUCTS	Bulgaria	Washington	655157	23469	0	0	299222	0
111--AGRICULTURAL PRODUCTS	Bulgaria	Wisconsin	27696	149422	193360	273692	277649	249159
111--AGRICULTURAL PRODUCTS	Croatia	Alabama	0	142000	0	30767	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Arizona	48374	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	California	4293804	5863417	5743134	8886333	7873149	7071520
111--AGRICULTURAL PRODUCTS	Croatia	Florida	0	0	23050	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Georgia	662000	444000	83000	911804	285106	410834
111--AGRICULTURAL PRODUCTS	Croatia	Idaho	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Illinois	5355	12740	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Indiana	118717	117797	0	0	0	14453
111--AGRICULTURAL PRODUCTS	Croatia	Iowa	0	0	242098	297878	9002	0
111--AGRICULTURAL PRODUCTS	Croatia	Louisiana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Massachusetts	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Michigan	97800	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Minnesota	0	0	0	0	0	44710
111--AGRICULTURAL PRODUCTS	Croatia	Montana	0	0	0	0	30391	69680
111--AGRICULTURAL PRODUCTS	Croatia	Nebraska	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	New Jersey	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	New York	387030	382800	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	North Carolina	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	North Dakota	0	0	0	67065	0	11500
111--AGRICULTURAL PRODUCTS	Croatia	Ohio	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Oregon	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Pennsylvania	152064	0	10279	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	South Carolina	0	14000	0	0	0	20000
111--AGRICULTURAL PRODUCTS	Croatia	Texas	0	2658	120247	279858	304126	133920
111--AGRICULTURAL PRODUCTS	Croatia	Virginia	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Croatia	Washington	0	21000	0	20200	0	19500
111--AGRICULTURAL PRODUCTS	Croatia	Wisconsin	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Alabama	0	0	0	0	91344	0
111--AGRICULTURAL PRODUCTS	Cyprus	Arizona	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Arkansas	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	California	4617884	5032267	3285691	5518864	5554773	4457619
111--AGRICULTURAL PRODUCTS	Cyprus	Florida	9008	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Georgia	4384	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Idaho	25810	9897	4127	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Illinois	12345	0	0	0	0	3958
111--AGRICULTURAL PRODUCTS	Cyprus	Iowa	57392	34468	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Kentucky	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Louisiana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Maine	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Maryland	0	4225	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Michigan	0	25974	0	0	12198	3042
111--AGRICULTURAL PRODUCTS	Cyprus	Minnesota	12342	0	171941	89745	34291	26477
111--AGRICULTURAL PRODUCTS	Cyprus	Missouri	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Montana	0	0	60895	18038	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Nebraska	29784	26500	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	New Jersey	0	0	0	0	4274	13958
111--AGRICULTURAL PRODUCTS	Cyprus	New York	1692667	647800	462000	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	North Carolina	0	0	46080	46080	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	North Dakota	28161	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Ohio	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Oklahoma	25000	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Oregon	0	26146	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Pennsylvania	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Tennessee	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Texas	0	0	31154	26171	18480	110930
111--AGRICULTURAL PRODUCTS	Cyprus	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Virginia	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Cyprus	Washington	0	63220	116194	25296	62120	0
111--AGRICULTURAL PRODUCTS	Cyprus	Wisconsin	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Arizona	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	California	8332895	8401330	5723786	6850983	9567064	5689403
111--AGRICULTURAL PRODUCTS	Czech Republic	Colorado	0	0	0	129800	10485	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Connecticut	0	0	0	0	8656	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Florida	0	0	0	11116	5481	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Georgia	0	0	0	0	31225	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Idaho	32300	67548	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Illinois	33368	59898	77356	73237	70495	109394
111--AGRICULTURAL PRODUCTS	Czech Republic	Indiana	113283	54585	0	0	0	8588
111--AGRICULTURAL PRODUCTS	Czech Republic	Iowa	134175	140856	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Kentucky	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Louisiana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Massachusetts	0	75600	0	0	65000	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Michigan	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Minnesota	0	0	75000	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Montana	0	0	0	0	4464	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Nebraska	59474	64033	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Nevada	80162	0	0	0	2910	0
111--AGRICULTURAL PRODUCTS	Czech Republic	New Jersey	0	10311	9275	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	New York	0	0	210000	19482	0	5635
111--AGRICULTURAL PRODUCTS	Czech Republic	North Carolina	4774706	3300805	4342633	4903414	4648441	4449475
111--AGRICULTURAL PRODUCTS	Czech Republic	North Dakota	0	250025	0	0	4573	4430
111--AGRICULTURAL PRODUCTS	Czech Republic	Ohio	4863	9762	3165	0	3920	6891
111--AGRICULTURAL PRODUCTS	Czech Republic	Oklahoma	0	0	0	0	10528	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Oregon	0	0	0	0	13700	134202
111--AGRICULTURAL PRODUCTS	Czech Republic	Pennsylvania	0	0	0	3556	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Puerto Rico	0	0	0	0	0	4847
111--AGRICULTURAL PRODUCTS	Czech Republic	Rhode Island	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	South Carolina	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	South Dakota	0	0	0	0	5895	3856
111--AGRICULTURAL PRODUCTS	Czech Republic	Tennessee	0	0	0	2688	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Texas	2975	0	63126	156075	328796	266730
111--AGRICULTURAL PRODUCTS	Czech Republic	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Virginia	0	0	0	406354	0	0
111--AGRICULTURAL PRODUCTS	Czech Republic	Washington	11357	4980	0	69457	9909	23120
111--AGRICULTURAL PRODUCTS	Czech Republic	Wisconsin	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Alabama	0	0	0	0	154080	18500
111--AGRICULTURAL PRODUCTS	Denmark	Alaska	0	0	0	0	0	3375
111--AGRICULTURAL PRODUCTS	Denmark	Arizona	31220	5850	92485	42750	29300	23710
111--AGRICULTURAL PRODUCTS	Denmark	Arkansas	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	California	12097633	18172531	23563009	27135534	31039779	28244248
111--AGRICULTURAL PRODUCTS	Denmark	Colorado	22751	98529	25972	66720	45681	62181
111--AGRICULTURAL PRODUCTS	Denmark	Connecticut	0	5000	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Florida	979138	770880	745038	781192	785861	385929
111--AGRICULTURAL PRODUCTS	Denmark	Georgia	39795	0	67433	915412	731433	3773253
111--AGRICULTURAL PRODUCTS	Denmark	Idaho	511308	419981	599906	1571183	919944	918344
111--AGRICULTURAL PRODUCTS	Denmark	Illinois	51789	346022	252266	302399	351231	132048
111--AGRICULTURAL PRODUCTS	Denmark	Indiana	717133	207695	0	0	0	11727
